"","text","user","time","favorites","retweets"
"1","finding a way to protest do no harm to store staff","Mammals_Suck",2017-06-13 11:55:35,197,48
"2","stunning and brave","Nanoaggression",2017-06-13 11:55:32,1,0
"3","honestly we geek girls know where to aquire our nasa tees you dont need to create extra work for already stresse","happydwarff",2017-06-13 11:54:07,1,1
"4","cheers we need more women scientists astronauts just like star treks gene roddenberry said space exploratio","beerscouts",2017-06-13 11:52:48,1,0
"5","u got it gurl","kixifx",2017-06-13 11:52:34,0,0
"6","you vandal","WiljamL",2017-06-13 11:52:16,1,0
"7","awesome","BlytheSunshine",2017-06-13 11:51:36,0,0
"8","smh","spydaman617",2017-06-13 11:50:05,0,0
"9","well done","thekeymon",2017-06-13 11:49:13,0,0
"10","dont ever do this shit at my target ill spaz","Coal_Signs",2017-06-13 11:47:46,3,0
"11","you mean you put them over all the pink princess outfits","amarcouxmcneal",2017-06-13 11:47:27,0,0
"12","cool may be we should all do that whenever the opportunity arises","goodloaf",2017-06-13 11:45:34,0,0
"13","ummmm target has nasa shirts for girls too theyre just not in the spot where you put thoseand theyre nicer","mechafeather",2017-06-13 11:44:09,0,0
"14","congratulations","Ryan_Slaps_Yute",2017-06-13 11:43:27,0,0
"15","everyday heroes","nova_road",2017-06-13 11:39:58,6,0
"16","just walk to the boys section you annoying fuck merchandisers do things for certain reasons and i can guarantee t","MaddieEvanz",2017-06-13 11:39:56,0,0
"17","this is the worst thread i think ive ever seen","theragingautist",2017-06-13 11:38:53,2,0
"18","right on","hapymn",2017-06-13 11:38:45,0,0
"19","wow so this took many unexpected turns had some important things to think about","Mammals_Suck",2017-06-13 11:38:43,335,167
"20","or you could just walk to the boys section smh those are unisex tshirts this has me very hot for some reason","audasiadavis",2017-06-13 11:37:35,0,0
"21","lmao fucking sjws pathetic","ivaNTaps",2017-06-13 11:36:23,0,0
"22","dont do this its very annoying for people who have to put it all back once you leave","audasiadavis",2017-06-13 11:36:06,0,0
"23","love this","LouWhiteheadPA",2017-06-13 11:35:46,1,0
"24","what can you do","P_racemosa",2017-06-13 11:35:38,0,0
"25","wdym boys section id buy these in a heartbeat idc","Ioveshays",2017-06-13 11:35:27,1,0
"26","this woman has changed the world there will be no more war or poverty thank goodness","tomwbay",2017-06-13 11:35:14,1,0
"27","shoot for the stars","WASNoorlander",2017-06-13 11:32:41,0,0
"28","wow youre really smashing those gender stereotypes right there","re_pegi",2017-06-13 11:31:49,1,0
"29","see do better","Warriorgemann",2017-06-13 11:30:18,0,0
"30","good i was so worried because this is the number problem in country after all","MacNeuroth",2017-06-13 11:26:55,5,0
"31","because girls should be encouraged every day to be more than princesses","Katiemcblondie",2017-06-13 11:26:20,0,0
"32","rock on rocket on","bradleygirl",2017-06-13 11:26:15,2,0
"33","love this","neal_erin",2017-06-13 11:25:21,0,0
"34","you go great idea","paelre",2017-06-13 11:23:31,2,0
"35","this is why people in retail hate customers","FaultyHammock",2017-06-13 11:21:33,0,0
"36","dick move","SexYSuccubus",2017-06-13 11:20:57,0,0
"37","awesome","VarditRavitsky",2017-06-13 11:20:47,2,0
"38","thank you","SableAradia",2017-06-13 11:20:43,1,0
"39","proof that a mammal never suckled raised on soywill manifest sociopathic tendencies","RashaTaus",2017-06-13 11:20:03,0,0
"40","eu amo demais esse tweet","camisp_",2017-06-13 11:19:42,0,0
"41","i am inspired to go shopping and rearrange some shelves","Ronvee14",2017-06-13 11:18:51,0,0
"42","what we have hereis another case of","DeckledEdges",2017-06-13 11:16:37,1,0
"43","this is what you call a stupid cunt i swear modern day feminist are so toxic","NxtGen_Weirdo",2017-06-13 11:16:01,1,1
"44","you just pissed off a lot of workers stop forcing this trash down childrens throats stop teaching pc to","hytfrcf",2017-06-13 11:12:42,1,0
"45","if someones boss is a fud then chances are you just got someone fired for incorrect inventory well done s","Candy_Saga_Adam",2017-06-13 11:12:22,0,0
"46","oh wow youre so fucking brave watch out everyone we got boys shirts with the girls","BigHomieJake",2017-06-13 11:11:27,3,1
"47","this is called mischief","LanreAA",2017-06-13 11:11:14,0,0
"49","coming from a boy mom girls sections are always appx x bigger than boys sure take what little we have left","krisi_0109",2017-06-13 11:10:31,0,0
"50","omg brilliant parents take note doing and posting later","bernadinefox",2017-06-13 11:09:54,0,0
"51","piece of shit","mvhmoud",2017-06-13 11:09:12,0,0
"52","ridiculous that theres a girls section anyway","syl_kn",2017-06-13 11:08:20,0,0
"53","noch ein verifizierteraccount und wenn man ihren namen googelt kommt genau nichts","EnochPoweIl",2017-06-13 11:08:06,2,0
"54","lol at thinking this is confronting sexism these minimum wage workers will have to move these shirts back take","nickintheback",2017-06-13 11:07:47,0,0
"55","or shoppers can just go to boys section to pick out clothes","akmutwt",2017-06-13 11:04:35,0,0
"57","she didnt change the prices because the would take skills","liars_never_win",2017-06-13 10:59:32,22,4
"58","seeing this legitimately triggered a headache smh what is this gonna do for anyone really","LordVsante",2017-06-13 10:59:02,0,0
"59","wahnsinn was der sich traut","FelixAustria97",2017-06-13 10:58:31,1,0
"60","i get the point but i feel bad for the store workers btw girls tanks cut different from boys and you are in the p","wndywitch",2017-06-13 10:58:25,1,0
"61","you go girl","kirkwoodtiger",2017-06-13 10:57:39,0,0
"62","vous chipotez jai ce pyjama nasa en coupe meuf alors bon","frhbh",2017-06-13 10:56:53,0,0
"63","fucking feminazis there are boys and girls sections for a reason boys and girls have different bodies that requi","mranjelorion",2017-06-13 10:55:24,0,0
"64","could you just walk over to the boy section and buy it for a girl anyway or do you think youll get tackled by the","danalangdon",2017-06-13 10:55:13,0,0
"65","not all heroes wear capes","UnfetteredMuse",2017-06-13 10:55:05,0,0
"66","im dying","FauxFawx",2017-06-13 10:53:31,0,0
"67","rosa parks bus boycott mlks march on washington katie hinde moves nasa tank tops to the girl sec","TyKRice",2017-06-13 10:51:34,2,0
"68","brilliant idea well done","Jen_Barbery",2017-06-13 10:47:03,0,0
"69","yesterday she congratulated herself for putting boys shirts in girls section and k people appro","bwsqrd",2017-06-13 10:45:09,0,0
"70","now all the workers have to pick up after you how lovely boycott write to target dont interfere and mess up an","LunaLincoIn",2017-06-13 10:43:56,0,0
"71","what if an employee sees this and puts them back in the boys section you did all this for nothing","KdotJohnson_",2017-06-13 10:42:38,1,3
"72","reasonably harmless funny tweet","Jonny_C85",2017-06-13 10:42:18,1,0
"73","love it","kellydobos",2017-06-13 10:39:54,0,0
"74","the entire thread of this tweet is a bunch of fucking fools","ho0dr4t",2017-06-13 10:38:46,0,0
"75","stores gotta keep up my daughters are always wondering why the cool stuff is in the boys section way to go","cdesrocher",2017-06-13 10:37:43,1,0
"76","great awesome the worker probably saw you do that we usually do and moved it back as soon as you left good wor","chloe_barbour",2017-06-13 10:36:53,0,0
"77","uau hein quebrou os generos","otarwio",2017-06-13 10:36:02,0,0
"78","white people saving the world","nazmraz",2017-06-13 10:33:15,0,0
