"","text","user","time","favorites","retweets","sentimentA","sentimentB"
"1","ohhhhh you are such a rebel target does have female nasa shirts you fake feminist","dejavoodoo",2017-06-13 11:55:28,0,0,"Negative",NA
"2","attention seekingclothes with characterslogos dont define how you grow uppeople like you have too much time on their hands","Victoriaahx",2017-06-13 11:55:21,3,0,"Very Positive","joy"
"3","wow sobrave","sanfordbilly",2017-06-13 11:55:09,0,0,"Positive",NA
"4","my daughter loves dinosaurs cars batman tell me where to find that in the girls section i should","VUFANINTX",2017-06-13 11:54:00,1,0,"Very Positive",NA
"5","the hero weve all been waiting for","oct4d",2017-06-13 11:52:56,0,0,"Positive","joy"
"6","fantastic pe teacher told kids in assembly today to take your kit home for mum to wash fight back","JenWrenTweet",2017-06-13 11:52:50,1,0,"Positive","surprise"
"7","courageous","SethAndrewsATL",2017-06-13 11:51:56,0,0,"Positive",NA
"8","wow fuck you leaving products in different parts of the store thats why i give little to no shits t","VektorLotus",2017-06-13 11:50:04,0,0,"Neutral",NA
"9","this is pathetic","xcas003",2017-06-13 11:49:49,0,0,"Negative","sadness"
"10","all this for a fucking tshirttells me all i need to know","sarcasticrobv",2017-06-13 11:49:48,0,0,"Negative",NA
"11","i fucking love this you absolute star","markpentler",2017-06-13 11:49:36,0,0,"Positive","joy"
"12","good for you hope you feel productive and special","thatbassguru",2017-06-13 11:48:48,0,0,"Very Positive","joy"
"13","right because that was so effective moron","AntonelliSzab",2017-06-13 11:48:41,0,0,"Positive",NA
"14","you really think you are some kind of hero for moving tshirts why dont you get a job at an","What0316",2017-06-13 11:48:14,0,0,"Very Positive","joy"
"15","woah youre just badass arent you","Rykatsue",2017-06-13 11:47:12,0,0,"Neutral",NA
"17","well thats the end of the glass ceiling you can go home now mission accomplished","SandwichMaker_",2017-06-13 11:46:16,0,0,"Very Positive",NA
"18","wow how in the world did i end up a woman in stem wout a nasa shirt oh thats right i just did","LissaKay",2017-06-13 11:46:02,1,0,"Very Positive",NA
"21","youre bloody retarded","crazyvan25",2017-06-13 11:44:58,0,0,"Very Negative",NA
"22","target has nasa shirts for girls too lmao way to be an inconvenience to the employees","ArianaTilde",2017-06-13 11:43:21,1,0,"Neutral",NA
"23","but target has nasa shirts for girls also clothing has no gender please do your research before","freaklise",2017-06-13 11:41:58,0,0,"Neutral","joy"
"24","whatushouldbefightingagainst islamists burn yazidichristian girls alive in cage for refusing sex","ReeCee22",2017-06-13 11:41:45,0,0,"Negative",NA
"25","youre an idiot","SurfSpaghetti",2017-06-13 11:41:34,0,0,"Negative",NA
"26","what u should be fighting against islamists burn yazidichristian girls alive in cage for refusin","ReeCee22",2017-06-13 11:41:27,0,0,"Very Negative",NA
"27","lmao please come back to earth","jgrant34",2017-06-13 11:40:16,0,0,"Very Positive","joy"
"28","these sjws are really trying to ruin everything and anything everything offends them soon breathin","PleaseArgue",2017-06-13 11:36:43,0,0,"Very Negative",NA
"29","did you make the employees jobs more annoying yes yes you did","mcemilylennon",2017-06-13 11:36:39,485,13,"Very Positive","anger"
"30","way to make more work for employees by trying to prove a meaningless point","GrayscaIee",2017-06-13 11:35:45,0,0,"Very Positive",NA
"31","all yall whining about extra work move merchandise stop it think of it as job security many job","islandgirlSUP",2017-06-13 11:34:18,0,0,"Very Positive","joy"
"32","saving the world with one hangar st a time true fucking american hero","MASTAYGOOD",2017-06-13 11:33:37,0,0,"Very Positive","joy"
"33","just shop in both sections of the store the sexing is really just a guideline as to what the clothin","mickey_hegs",2017-06-13 11:32:32,0,0,"Positive",NA
"34","you know there were female astronauts in the s right they did it without tank tops too","AlfredCarcieri",2017-06-13 11:32:21,0,0,"Very Positive",NA
"35","youre a virtue signaling idiot","hex_tano",2017-06-13 11:31:54,0,0,"Neutral",NA
"36","but muh feminism fight the patriarchy you are retarded then again youre a woman stupidity and female go hand in hand","iAmAnonymousTom",2017-06-13 11:30:43,0,0,"Very Negative",NA
"38","they literally already have nasa shirts also your username is offensive to humans i thought you wer","nitro_flux",2017-06-13 11:30:14,0,0,"Negative","disgust"
"39","it never ceases to amaze me how bad our culture is to children","SeanNewboy",2017-06-13 11:29:23,0,0,"Negative","sadness"
"40","wow congrats on being a nuisance to the workers there","coIeat",2017-06-13 11:28:15,0,0,"Positive",NA
"41","that wont change anything as far as the employes know little kid mixed up their clothing items and no","nightimefirefly",2017-06-13 11:27:25,0,0,"Neutral","joy"
"42","get help weirdo","40Love6060",2017-06-13 11:26:23,1,0,"Neutral","sadness"
"43","you do understand if they want it they can just get it no need to inconvenience people to make yourself feel better","thatnceq",2017-06-13 11:24:23,0,0,"Negative","sadness"
"44","and that empowered you how you are a mindless wonder","AmericanPlush",2017-06-13 11:24:06,0,0,"Neutral","surprise"
"45","did you just waste a lowwage workers time and achieve nothing indeed","Mr_Chup0n",2017-06-13 11:23:34,0,0,"Negative",NA
"46","sjws are the worst","TheRyanDuvall",2017-06-13 11:22:46,1,2,"Negative",NA
"47","the girls section have harry potter items boys none","i_am_joey",2017-06-13 11:22:03,0,0,"Neutral",NA
"48","as someone who works in retail i would just like to point out that if you want to make a statement go to corporate","drinkthepeach",2017-06-13 11:21:51,2,0,"Very Positive","joy"
"49","aww i was totally behind this because i thought it was a statement on how mens clothing is becoming","crazydiscostu",2017-06-13 11:21:33,1,0,"Positive",NA
"50","there are already nasa shirts in the girls section i work in the clothing department at target","elisebby01",2017-06-13 11:21:14,0,0,"Positive",NA
"51","well done you","OlgaUK1",2017-06-13 11:21:02,0,0,"Positive",NA
"52","will u demand that chocolate cake be put in the vanilla cake box how do you liberals have enough tim","ReeCee22",2017-06-13 11:19:49,0,0,"Neutral",NA
"53","you sure are destroying that patriarchy man","CrimsonThunder_",2017-06-13 11:19:30,0,0,"Negative",NA
"54","well whatever makes you feel important i guess","Dingmatt",2017-06-13 11:19:27,0,0,"Very Positive",NA
"56","good for you now do the same for girls stuff and put them on the boys section make it hell for unde","Henry_Haphorn",2017-06-13 11:18:40,0,0,"Neutral","joy"
"57","i just walked my girls to boys area they picked their shirts we didnt shame anybody or riot in sto","ReeCee22",2017-06-13 11:18:01,0,0,"Very Negative","sadness"
"58","or you could just disregard the section labels in the first place which is what a ton of people already do but good job","megiggle25",2017-06-13 11:17:17,0,0,"Positive","joy"
"59","ever notice how the womens section is always twice the size of menswear nono intention of prot","Propaneman1968",2017-06-13 11:17:17,0,0,"Neutral",NA
"60","but that just added to the sales clerks workload why not raise the issue to the managers or start a letteremail campaign","adrienne_kt",2017-06-13 11:16:50,0,0,"Negative",NA
"61","thatll show em","_Keith_Brunson_",2017-06-13 11:16:31,0,0,"Neutral",NA
"62","why","urfavouritememe",2017-06-13 11:15:38,0,0,"Neutral",NA
"63","how is a store supposed to know how to set up with u crazy people if u start attacking stores how r","ReeCee22",2017-06-13 11:14:54,0,0,"Negative",NA
"65","youre an idiot i dont want to have to sift through clothing made for men or kids to find the cloth","DeckledEdges",2017-06-13 11:13:48,0,0,"Neutral",NA
"66","not all heroes wear capes","_Kafuka",2017-06-13 11:13:34,0,0,"Negative",NA
"67","its not as if the employees had a hard enough time making sure shit is in the right place then you","spacekarth",2017-06-13 11:13:20,0,0,"Negative",NA
"68","wow emmeline pankhurst would be so proud","grizzlefizzle",2017-06-13 11:12:55,0,0,"Very Positive","joy"
