"","user","sentimentA"
"1","___JazzyJas",1
"2","___RoyY",-1
"4","__DanielleRenee",-1
"5","__db____",-2
"6","_19_84_",0
"7","_Astro_Nerd_",0
"8","_barretme",1
"9","_bb_eight",0
"10","_Blackclan",1
"12","_ConradTokyo",-2
"13","_Duforc_",1
"15","_ekoorb",1
"16","_emobe",2
"17","_epic_harry_",-1
"18","_EvRo_",1
"19","_FortisEtLiber_",2
"20","_fu_ckliberals_",-1
"21","_gabemedina_",0
"22","_Goose_Mother",-1
"23","_grantli",0
"24","_ItzJohn_",2
"25","_Jan_P",-1
"26","_jlamo",-1
"27","_JonWood",0
"28","_Keith_Brunson_",0
"29","_LCMB_",-2
"30","_magicalraven_",0
"31","_mia_joy_",0
"32","_Not_it8",0
"33","_pettywhite",-1
"34","_ponyboyy",0
"35","_Quining",-1
"36","_ScienceFaction",0
"37","_sneakerhead22",0
"38","_SpacePirate__",2
"39","_StephenGilmore",-1
"41","_ustinJ",-1
"42","02miri93",1
"43","06Champs",-1
"44","11thEarl",-1
"45","1800WHITEBOY",0
"46","188NJSapper",2
"47","1bigbeatlesfan",-1
"48","1FairWoman",0
"49","1msalopez",-2
"50","2013Horman",1
"51","21savagest",-1
"53","2ndlast2rise",0
"54","38spl500",0
"55","3cpoz",1
"56","40Love6060",0
"57","420olivieri",2
"59","4MikuAlone",0
"61","69xxmemelordxxx",1
"62","7W3375",-1
"63","86thetomato",0
"64","90smelanin",0
"65","99thRedBalloon",-2
"66","A__Nystrom",0
"67","A_Hard_Truth",-2
"68","A_Wagner12",-1
"69","A1kazmi",1
"70","Aajabooboo",1
"71","aamykerr",0
"72","abigail_adams76",1
"75","AceofSpadesHQ",2
"76","AcidDragonPunch",1
"77","AcidRayneStorm",1
"78","acopersi",1
"80","ActualAleisha",0
"81","acubedblog",1
"82","aCutePlatypus",1
"83","adamjrcorbett",-2
"84","AdamNewman913",1
"85","adampowers",0
"86","adamropp",-1
"87","AdamTheDukeDyer",1
"88","AddisonCookie",-1
"89","AdeFashina",0
"90","adigoesswimming",1
"91","Admiral_Oreo",1
"92","aerialsloveppl",1
"93","AerithRikku",-1
"94","aesthethicccc",1
"95","AFagguette",0
"96","afoolofatook",1
"97","afrado19",-1
"99","agonib89",1
"100","ahhhhhhhhh666",-1
"104","AirinSilver",1
"107","akashbrar_",0
"108","akbar_rahmani",1
"109","akfarrell",0
"110","akidisforlife",1
"111","akidnamedrager",-1
"112","Akron521",1
"113","alainafaithk",0
"114","alainenoel",0
"115","alansonfire",1
"116","alasdairdavie",1
"117","alaskancarl1",2
"118","albanymuskrat",0
"119","Alebutton",3
"120","AleElAmericano",2
"122","alexacjones",1
"124","AlexJPoirier",-1
"125","AlexStrayCat_",-1
"126","AlexTeesside",-1
"127","AlexWindley",1
"128","aleysha110",-1
"129","AliciaRockel",0
"130","Alienfxcker3000",0
"132","AliM20698746",3
"133","aliogrady",1
"134","alisa2s",0
"136","AllisonAlbrech2",-1
"139","alltheangels_",1
"140","AllyGeighter",1
"141","AllyGrace",1
"142","AlMaeder",1
"143","Alpha_Wave783",1
"144","alternateray",0
"145","AltRightChris",-1
"146","AlubuMurs",-1
"147","AlyceWellington",0
"149","amandaecollins",1
"150","amandaeileen26",0
"151","AmandaFama_",3
"152","AmanJohalGFA",1
"153","amansopinion83",-1
"155","AmBoDe33",2
"156","americanmaltese",1
"157","AmericanPlush",0
"158","AmericanQuixote",0
"159","amerikag",1
"160","amidala64",-1
"161","aminyarhd",0
"163","Amuk3",-1
"164","AmyGehling",-1
"165","amylauren216",0
"166","amylsacks",-3
"167","amyrenaewright",0
"168","AnaisBlack33",1
"169","analisamankilla",1
"170","anazrof",1
"171","ancientbruisesx",1
"172","andiiiidelgado",0
"173","Andre__VII",1
"174","Andrea6Mitchell",2
"175","Andrew_Cota1",2
"176","Andrew72701650",9
"178","AndrewJakeobs",3
"179","AndrewPina7",2
"180","AndyCat313",1
"181","andygtants",1
"182","AndyKing191",-1
"183","AndyMeanie",0
"184","AndyTX_guns",0
"186","angelovalidiya",-1
"187","Animated_David",2
"188","AnnaLustre",1
"189","annav8307",1
"190","Anniethekitty",-1
"191","anniewiebecomeD",2
"192","Antares1995",1
"193","Anthony21154",-1
"194","antinoble",0
"195","Antonio9847",0
"196","antonzilwicky54",-1
"197","Anusien",0
"198","AnxietyJane",0
"199","aphorismoi",1
"201","Apreshe8",2
"202","aprildouglass_",1
"203","AprilFuul",-2
"204","AprilRules",1
"205","aquarianqueen17",0
"206","arahnerbaby",0
"207","arcadewildfire",1
"208","arclight",1
"210","Ares_0926",0
"211","arfurdale",-1
"212","ArielVinda",2
"213","AriZonaGeyser",1
"214","Arjargon",1
"215","arownsu",1
"217","ArumFox",2
"218","AsaFlynn_1984",1
"219","ASAP_Triple",0
"220","AshBaby2222",0
"222","Ashley327mc",-1
"223","ashmeads2",0
"224","AshtonnMcL",-1
"225","ASS__Jesus",1
"226","AstraLorance",0
"228","athenapelton",0
"229","attjnj",2
"230","audreyovsky",1
"231","augie_watters",0
"232","avalon_combs",-1
"233","avenueworld",0
"234","Average_Joe99",1
"236","AWKrey",-2
"237","ayeboah47",0
"238","b_lemony",2
"239","babayaga32",0
"240","Baby_Jesus116",-1
"241","babychiliam",0
"243","bad_dominicana",0
"244","BaddieDaywin",1
"245","BaileyBroussar3",0
"246","BaizouAwards17",0
"247","bakedgrapes",-1
"248","bakergirlie",1
"249","baller_picasso",0
"250","BamaBobblehead",2
"251","BanditGolf",2
"252","Banished5times",0
"253","Bannn_23",1
"254","bapeonion",2
"255","bar1scorpio",1
"NA",NA,NA
"257","Barbeauxbot",0
"258","barbieiskatie",2
"259","Barbsgoturback",1
"260","BarraKona",1
"261","Based_Continuum",2
"262","Based_TsunamI",0
"263","BasicCheerAnon",1
"264","BastardDubious2",1
"265","Bat6660",1
"266","bathsaltz321",-2
"267","BazeBluhh",-1
"268","BBCStreeter",0
"269","BCohen94",1
"270","BeanieJeanatjax",0
"271","BearFracas",1
"273","Bearintheboat",0
"274","BearMedano",0
"276","Beccatosaurus",2
"277","BednarkNYC",2
"278","Beeboider",1
"279","beedogvolcano",0
"280","BeetheNani",1
"281","BeezakaMrB",1
"282","begraffic",1
"283","Bei_song_Wenhou",1
"284","BelindaPixi3",0
"286","benhtallman",2
"287","Benj_oman",0
"290","Benniiee_A",-3
"291","benson_susannah",1
"292","benxdicted",1
"293","BernadeiaJ",1
"295","BevfromNYC",1
"296","BeyondandAbove1",2
"297","BFK99",1
"298","Bharfee",1
"299","BHawk729",1
"300","bibberly",0
"301","BiffTannen34",2
"302","BigBobby5595",4
"303","BigJohnStudUSA",-1
"304","BillCraw4154",-1
"305","BillRasure",2
"306","billyduran",0
"307","billymustdie",2
"308","billynumb1",2
"309","BillyQuilter",0
"310","binks_zachary",2
"311","binkydex",-1
"312","Bistmath",0
"313","bitcaw",-3
"314","Bitches_n_BTC",5
"315","BITTHEBIGAPPLE",0
"316","bIueriver",1
"317","bkfpvracing",1
"318","blackinergy",-1
"319","BlackMesa1998",1
"321","blaireandchill",1
"322","blamejerl",0
"323","blamwham14",1
"324","BlaqueLiquor",-2
"325","blaughner",0
"326","BlauManticore",1
"327","bleephot",0
"328","blgrr",0
"329","BlindAlsatian",1
"330","BlondeSpectre",0
"331","Blotgo",-2
"332","Blucola",2
"333","BlueCaek",2
"334","BlueEyedEarper",0
"335","Bluejaysfan1234",3
"336","BlueRidgeChick",0
"337","blumes15",1
"338","BmoreBaker42",-1
"339","Bo_Curv14",2
"340","bo_rhapp",1
"341","BobtheReplier",0
"342","bobzulka",1
"343","boltonbombs",1
"344","bombszelberger",-1
"345","bongo_furious",1
"346","BongTweetBong",-1
"347","BoobPunchTina",-1
"348","Boognish12",1
"349","bookfairiecymru",1
"350","BooneVirginia",0
"351","BootonCallum",1
"352","BootyLordBen",1
"353","borg304",-1
"354","bowelmovement_",0
"355","Bowrie",2
"356","BoxMarks",1
"357","boxthegox",-2
"358","boyycunt",-2
"360","Br4y0n_28",0
"361","brad_tekkerz",-2
"362","braddock1960",-1
"363","bradeickman",2
"364","brady374411331",1
"365","Brain_Sharter",2
"366","brainfromarous",2
"367","Brand_namez",-2
"368","brandacedawn",-2
"369","Brandon_SV",-2
"370","brandonscooper",1
"371","BrandontLikeYou",-1
"372","brannaan",1
"373","brassfrog",2
"374","Bratpacker01",0
"375","braxuss",1
"376","brekabot85",0
"377","brendonbouzard",-1
"378","BrennaDemands",2
"379","brennicus",0
"380","Brett_OReilly",0
"381","Brewer999",0
"382","brexit4all",2
"383","BrianDeluge",1
"384","bringfriends4u",1
"385","brixtronix",-1
"386","broadwaysame",0
"387","BrodyClemens",1
"388","BrothLGregarius",0
"389","Browncoat_Atty",-1
"390","BruceBuckman",-1
"391","BruinBradinFL",0
"392","brutledge1985",1
"393","Brycey1234",0
"394","bsudah",-1
"395","Buckmelanoma41",0
"396","BuddSechs",-1
"397","Bukkakben",-1
"398","BullsLawDan",1
"400","BurghFeeder",2
"402","bussay_marton",0
"403","butthag",1
"404","bvcolic",0
"405","bwsqrd",-2
"406","byee_anne",-1
"407","byg19437487",1
"408","ByronGraffiti",0
"409","byronic_queero",-1
"410","c_niesman",1
"411","C4nc3rM4nc3r",0
"412","C7_Xpress",-1
"414","caaaaarrl",1
"415","Caerdwyn",1
"416","caffeinehunter",0
