text,user,time,favorites,retweets,sentimentA,sentimentB,friendCount,followerCount,description,location,type,time_bin,cluster
ohhhhh you are such a rebel target does have female nasa shirts you fake feminist,dejavoodoo,6/13/17 11:55,0,0,Negative,NA,21,7,,Texas,reply,12,2
attention seekingclothes with characterslogos dont define how you grow uppeople like you have too much time on their hands,Victoriaahx,6/13/17 11:55,3,0,Very Positive,joy,495,1198,,"Northern Ireland, United Kingdom",reply,12,2
wow sobrave,sanfordbilly,6/13/17 11:55,0,0,Positive,NA,244,164,liberty loving husbandfather marine coach unyielding critic of oppressive govt enjoy lampooning huckster politicians best rock thrower in the county,Ball Ground  GA,reply,12,2
my daughter loves dinosaurs cars batman tell me where to find that in the girls section i should,VUFANINTX,6/13/17 11:54,1,0,Very Positive,NA,666,386,,,reply,12,3
the hero weve all been waiting for,oct4d,6/13/17 11:52,0,0,Positive,joy,131,253,,"Las Vegas, NV",reply,12,2
fantastic pe teacher told kids in assembly today to take your kit home for mum to wash fight back,JenWrenTweet,6/13/17 11:52,1,0,Positive,surprise,232,28,fulltime mummy parttime lunatic and wanna be science geek,"England, United Kingdom",reply,12,3
courageous,SethAndrewsATL,6/13/17 11:51,0,0,Positive,NA,59,28,pilgrim cynic copywriter baseball junkie,Atlanta,reply,12,2
wow fuck you leaving products in different parts of the store thats why i give little to no shits t,VektorLotus,6/13/17 11:50,0,0,Neutral,NA,635,65,,"Toronto, Ontario",reply,12,NA
this is pathetic,xcas003,6/13/17 11:49,0,0,Negative,sadness,493,250,i have a beautiful wife and amazing kids brp district sales manager atu alum and played golf there fore a few years go hogs redwolves and wonderboys,day to day,reply,12,2
all this for a fucking tshirttells me all i need to know,sarcasticrobv,6/13/17 11:49,0,0,Negative,NA,34,39,,"Ontario, CA",reply,12,3
i fucking love this you absolute star,markpentler,6/13/17 11:49,0,0,Positive,joy,377,410,itav bod at edinburgh napier uni chair of check out our podcast on itunes sciencereasonskepticismpoliticsice hockey go,"Edinburgh (via Blackpool), UK",reply,12,3
good for you hope you feel productive and special,thatbassguru,6/13/17 11:48,0,0,Very Positive,joy,798,272,instead of asking what i do ask what i dont do,Up in the clouds,reply,12,3
right because that was so effective moron,AntonelliSzab,6/13/17 11:48,0,0,Positive,NA,46,28,im a sister daughter and mother first and foremost im also a usaf veteran and a selfproclaimed flag thumper you dont like my country get the hell out,"Dallas, TX",reply,12,NA
you really think you are some kind of hero for moving tshirts why dont you get a job at an,What0316,6/13/17 11:48,0,0,Very Positive,joy,128,26,,,reply,12,2
woah youre just badass arent you,Rykatsue,6/13/17 11:47,0,0,Neutral,NA,60,16,,South Africa,reply,12,2
well thats the end of the glass ceiling you can go home now mission accomplished,SandwichMaker_,6/13/17 11:46,0,0,Very Positive,NA,213,187,mostly just hanging out online until something better comes along,Lamuella,reply,12,2
wow how in the world did i end up a woman in stem wout a nasa shirt oh thats right i just did,LissaKay,6/13/17 11:46,1,0,Very Positive,NA,536,753,servant of christ constitutionalist married to my best friend momstepmom to nana to grandbabies feminismisdumb socialismisevil fightforfreedom,"Kodak, TN",reply,12,2
youre bloody retarded,crazyvan25,6/13/17 11:44,0,0,Very Negative,NA,193,38,,,reply,12,3
target has nasa shirts for girls too lmao way to be an inconvenience to the employees,ArianaTilde,6/13/17 11:43,1,0,Neutral,NA,242,791,if you dont recycle dont talk to me instagramarianatilde,san francisco ,reply,12,3
but target has nasa shirts for girls also clothing has no gender please do your research before,freaklise,6/13/17 11:41,0,0,Neutral,joy,844,369,a meme gone wrong i got a thing for my laptop computer,chicago misfit homebody,reply,12,3
whatushouldbefightingagainst islamists burn yazidichristian girls alive in cage for refusing sex,ReeCee22,6/13/17 11:41,0,0,Negative,NA,257,129,,,reply,12,2
youre an idiot,SurfSpaghetti,6/13/17 11:41,0,0,Negative,NA,354,247,dont forget the mustard,,reply,12,1
what u should be fighting against islamists burn yazidichristian girls alive in cage for refusin,ReeCee22,6/13/17 11:41,0,0,Very Negative,NA,257,129,,,reply,12,2
lmao please come back to earth,jgrant34,6/13/17 11:40,0,0,Very Positive,joy,31,5,,"Greenvlle, NC",reply,12,2
these sjws are really trying to ruin everything and anything everything offends them soon breathin,PleaseArgue,6/13/17 11:36,0,0,Very Negative,NA,214,96,rrc professional of nothing i despise sjws and will gladly debunk privillege and how it doesnt exist im defined more of what i do than what i dont,,reply,12,2
did you make the employees jobs more annoying yes yes you did,mcemilylennon,6/13/17 11:36,485,13,Very Positive,anger,1223,343,bands photography digital art broadcast tv student society esmclennon redbubble esmclennon insta redlightdarkroom,"Mimico, Ontario",reply,12,3
way to make more work for employees by trying to prove a meaningless point,GrayscaIee,6/13/17 11:35,0,0,Very Positive,NA,87,90,born and raised on earth son of my dad and mom brother of my brothers,,reply,12,2
all yall whining about extra work move merchandise stop it think of it as job security many job,islandgirlSUP,6/13/17 11:34,0,0,Very Positive,joy,1239,901,x advanced stage cancer survivor circa activist athlete artist makecanceraffordable former conservative pissed gop stupidity,,reply,12,3
saving the world with one hangar st a time true fucking american hero,MASTAYGOOD,6/13/17 11:33,0,0,Very Positive,joy,381,650,,"Huntington Beach, CA",reply,12,1
just shop in both sections of the store the sexing is really just a guideline as to what the clothin,mickey_hegs,6/13/17 11:32,0,0,Positive,NA,310,31,,New England,reply,12,2
you know there were female astronauts in the s right they did it without tank tops too,AlfredCarcieri,6/13/17 11:32,0,0,Very Positive,NA,185,255,comedian and misguided smart ass from new england living in seattle,Earth,reply,12,3
youre a virtue signaling idiot,hex_tano,6/13/17 11:31,0,0,Neutral,NA,91,5,liberals not longer belong on the left,"Washington, DC",reply,12,NA
but muh feminism fight the patriarchy you are retarded then again youre a woman stupidity and female go hand in hand,iAmAnonymousTom,6/13/17 11:30,0,0,Very Negative,NA,448,87,gamer le supporter and black i am what the liberals call and uncle tom bluelivesmatter,"Castle Rock, CO",reply,12,2
they literally already have nasa shirts also your username is offensive to humans i thought you wer,nitro_flux,6/13/17 11:30,0,0,Negative,disgust,288,58,team captain of,"Asheville, NC",reply,12,1
it never ceases to amaze me how bad our culture is to children,SeanNewboy,6/13/17 11:29,0,0,Negative,sadness,3821,3104,reader gamer nerd atheist feminist,South Florida,reply,12,NA
wow congrats on being a nuisance to the workers there,coIeat,6/13/17 11:28,0,0,Positive,NA,168,2388,social pariah,,reply,12,2
that wont change anything as far as the employes know little kid mixed up their clothing items and no,nightimefirefly,6/13/17 11:27,0,0,Neutral,joy,66,52,today is an opportunity to get better dont waste it lilly singh,,reply,12,NA
get help weirdo,40Love6060,6/13/17 11:26,1,0,Neutral,sadness,949,1322,business owner ceo patriot ccot a staunch conservative love my son my dogs live in orange county ca,USA,reply,12,2
