"user","time_join","time_bin","followers"
"___allstate",2017-06-12 12:23:00,5,248
"___brujita",2017-06-12 14:51:00,5,265
"___RoyY",2017-06-13 07:26:00,11,785
"__brianne",2017-06-12 11:19:00,4,434
"__Callipygian__",2017-06-12 09:26:00,4,1160
"__CassidyRae__",2017-06-12 23:12:00,8,2104
"__CleaR_",2017-06-12 19:54:00,7,342
"__emwhatt",2017-06-13 10:40:00,12,956
"__Jubilee__",2017-06-12 14:05:00,5,81
"__tonkatruck__",2017-06-12 11:40:00,4,955
"_1stClassChic",2017-06-12 18:41:00,7,1172
"_Ab_Hinc",2017-06-12 13:48:00,5,640
"_aeb_oneefour",2017-06-13 09:38:00,12,341
"_Algebo",2017-06-13 08:23:00,11,147
"_amymarieee_",2017-06-13 07:49:00,11,326
"_ANEES1",2017-06-12 19:49:00,7,578
"_AR7271",2017-06-12 14:22:00,5,15
"_Astro_Nerd_",2017-06-13 09:23:00,12,1171
"_AxiosG_",2017-06-12 20:31:00,7,54
"_brandonmalcolm",2017-06-12 16:28:00,6,1636
"_CheAmor_",2017-06-12 20:44:00,7,606
"_ConradTokyo",2017-06-12 12:57:00,5,910
"_DAA",2017-06-12 11:11:00,4,10375
"_det_var_trist_",2017-06-12 12:30:00,5,1699
"_DeviantLola1_",2017-06-13 09:55:00,12,2617
"_Devilish_Saint",2017-06-12 21:18:00,8,133
"_donaldson",2017-06-12 21:13:00,8,3588
"_eisenzopf",2017-06-12 18:40:00,7,2083
"_ekoorb",2017-06-13 00:31:00,9,406
"_emobe",2017-06-12 13:58:00,5,481
"_epic_harry_",2017-06-12 21:32:00,8,4
"_flowergypsy",2017-06-12 14:35:00,5,587
"_ftgim",2017-06-12 16:53:00,6,919
"_fu_ckliberals_",2017-06-13 00:46:00,9,346
"_GailBrian",2017-06-12 13:06:00,5,106
"_Gortys_",2017-06-12 20:34:00,7,506
"_hoemo",2017-06-12 11:52:00,4,2117
"_i__b",2017-06-12 18:33:00,7,605
"_ItzJohn_",2017-06-13 01:45:00,9,60
"_JCAMP_",2017-06-12 15:18:00,6,512
"_joemo",2017-06-12 14:03:00,5,243
"_JUCIFER_",2017-06-12 07:50:00,3,5354
"_julielouise",2017-06-12 17:26:00,6,161
"_Kafuka",2017-06-13 11:13:00,12,436
"_Kai769_",2017-06-12 21:21:00,8,14
"_Keith_Brunson_",2017-06-13 11:16:00,12,43
"_King_Reckless_",2017-06-13 01:16:00,9,546
"_lasania",2017-06-12 23:48:00,8,79
"_LaurinKayla",2017-06-13 01:42:00,9,665
"_LCMB_",2017-06-13 01:25:00,9,953
"_lexmix",2017-06-12 18:51:00,7,5
"_MaFoi",2017-06-12 13:41:00,5,422
"_martays",2017-06-13 04:53:00,10,534
"_marya_k",2017-06-12 16:13:00,6,438
"_MelisandreM",2017-06-12 15:38:00,6,1060
"_meowornever_",2017-06-12 14:25:00,5,267
"_mia_joy_",2017-06-12 18:14:00,7,40
"_Quining",2017-06-12 16:35:00,6,1395
"_qunari",2017-06-13 01:39:00,9,318
"_rchen",2017-06-13 03:38:00,10,64
"_RedTyneside",2017-06-13 04:15:00,10,3225
"_rhoda_w",2017-06-12 16:02:00,6,1033
"_s75w",2017-06-12 21:05:00,8,824
"_Salakito",2017-06-12 09:00:00,4,1556
"_ScienceFaction",2017-06-12 13:44:00,5,5
"_sirhampton_",2017-06-12 15:57:00,6,8441
"_SkunkyBeaumont",2017-06-12 15:26:00,6,1177
"_skywizard",2017-06-13 06:11:00,11,404
"_Sticky",2017-06-12 18:52:00,7,41
"_The_New_Deal_",2017-06-13 02:58:00,9,299
"_TheGMan",2017-06-12 21:07:00,8,960
"_ustinJ",2017-06-12 20:34:00,7,2918
"_Virticon_",2017-06-12 16:44:00,6,9
"_WeeabooJones_",2017-06-13 11:02:00,12,65
"_wessi_",2017-06-13 03:47:00,10,2132
"_womenscycling",2017-06-12 11:21:00,4,14948
"_zomberella",2017-06-12 20:13:00,7,796
"005e5n",2017-06-12 12:33:00,5,3582
"0FSTARS",2017-06-12 22:49:00,8,336
"0rgasmo",2017-06-13 08:54:00,11,97
"0ryuge",2017-06-12 18:13:00,7,3253
"0sdp",2017-06-12 17:17:00,6,735
"0toygunanthem0",2017-06-12 18:18:00,7,483
"100TeamTrump",2017-06-12 19:34:00,7,454
"11thEarl",2017-06-12 18:06:00,7,304
"123db_GEEK",2017-06-13 05:00:00,10,974
"12laus",2017-06-12 22:56:00,8,161
"144hurts",2017-06-12 13:49:00,5,108
"1488combat18",2017-06-12 12:47:00,5,49
"1800WHITEBOY",2017-06-12 22:06:00,8,27
"188NJSapper",2017-06-12 19:58:00,7,16
"1LogicalMan",2017-06-13 00:54:00,9,295
"1offering1",2017-06-13 02:22:00,9,211
"1st_attempt",2017-06-12 21:15:00,8,157
"2000Z28",2017-06-12 22:40:00,8,65
"2013Horman",2017-06-13 06:04:00,11,325
"202FSUNole",2017-06-13 07:08:00,11,1404
"206bb79",2017-06-12 14:09:00,5,15
"206niall",2017-06-12 14:14:00,5,22
"21stTexasCav",2017-06-12 22:26:00,8,51
"221beforemydoom",2017-06-13 03:39:00,10,460
"25CNbOmE",2017-06-12 22:27:00,8,715
"2earsandaheart",2017-06-12 17:20:00,6,101
"2hu_Anarchist",2017-06-12 14:07:00,5,239
"2manykraemers",2017-06-12 13:41:00,5,270
"300Ft2Glory",2017-06-13 05:48:00,10,349
"404compliant",2017-06-12 07:12:00,3,121
"40Love6060",2017-06-13 11:26:00,12,1322
"420Commie",2017-06-12 13:03:00,5,399
"420EXP",2017-06-12 23:46:00,8,201
"4ChrisPBacon",2017-06-12 15:48:00,6,2823
"4PoliticalWomen",2017-06-13 07:29:00,11,54
"4stroderp",2017-06-13 02:39:00,9,28
"51PercentofUS",2017-06-13 01:00:00,9,2172
"5horizns",2017-06-12 10:44:00,4,52
"5p0093r",2017-06-13 08:10:00,11,70
"5thRing",2017-06-12 17:46:00,6,19
"6oldDigger",2017-06-12 12:26:00,5,191
"6thfromtheSun",2017-06-12 22:07:00,8,16
"6UUULT",2017-06-12 17:15:00,6,304
"76Pauls",2017-06-12 11:45:00,4,166
"801Tuco",2017-06-12 13:57:00,5,61
"86thetomato",2017-06-12 12:44:00,5,136
"88husker",2017-06-13 10:27:00,12,3647
"90sSkinemax",2017-06-12 14:08:00,5,25
"911FirstRespond",2017-06-12 12:50:00,5,280
"94459",2017-06-12 13:54:00,5,1068
"99thRedBalloon",2017-06-12 21:38:00,8,518
"A_gomez82",2017-06-12 13:13:00,5,172
"A_Hard_Truth",2017-06-12 16:49:00,6,404
"A_Hawk10",2017-06-12 22:21:00,8,36
"A_Jase_Odyssey",2017-06-12 17:29:00,6,384
"a_place_n_time",2017-06-12 23:24:00,8,707
"A1fredFJonez",2017-06-12 17:48:00,6,63
"A1kazmi",2017-06-12 19:17:00,7,198
"AA_Cowan",2017-06-12 13:48:00,5,123
"AAAlyosha",2017-06-12 14:16:00,5,683
"aahmedonline",2017-06-13 10:02:00,12,598
"abandonedgloves",2017-06-12 14:14:00,5,1294
"ABBlEIDK",2017-06-12 13:18:00,5,5509
"Abdi_Freeman",2017-06-12 10:56:00,4,209
"abelsboo",2017-06-12 13:31:00,5,2777
"abetterwest",2017-06-12 23:32:00,8,920
"abigail_adams76",2017-06-12 18:11:00,7,288
"AbsitEst",2017-06-12 14:42:00,5,40
"Absurdosic",2017-06-13 08:09:00,11,82
"AbuFarruq",2017-06-12 17:42:00,6,404
"accioballs",2017-06-12 18:18:00,7,275
"AceCunnalingus",2017-06-12 19:50:00,7,317
"AcetoneOctopus",2017-06-12 23:14:00,8,88
"acraft00",2017-06-13 00:12:00,9,98
"actdrewary",2017-06-12 19:25:00,7,159
"acunabeat",2017-06-13 09:12:00,12,808
"adamjrcorbett",2017-06-12 17:25:00,6,242
"adamropp",2017-06-12 23:21:00,8,98
"adcut",2017-06-12 12:49:00,5,209
"AddisonCookie",2017-06-13 08:44:00,11,127
"adelecree",2017-06-13 08:22:00,11,151
"Adelheidij",2017-06-13 05:07:00,10,107
"adigoesswimming",2017-06-12 11:50:00,4,331
"adjack3467",2017-06-12 21:51:00,8,469
"admh574",2017-06-12 16:39:00,6,477
"AdmiralAegis",2017-06-12 18:00:00,7,852
"AdmiralOfAges",2017-06-12 18:11:00,7,1811
"Adolfhibsta",2017-06-13 01:07:00,9,19278
"adoredelsano",2017-06-12 18:45:00,7,207
"AdornMeJewelry",2017-06-12 19:36:00,7,1860
"adrienne_kt",2017-06-13 11:16:00,12,616
"AdrienneVrettos",2017-06-12 10:45:00,4,652
"Adril9596",2017-06-12 22:53:00,8,4461
"AdtheNuhiu",2017-06-12 16:22:00,6,65
"AdvocateMom_18",2017-06-13 00:20:00,9,45
"AE_3D",2017-06-12 15:40:00,6,1276
"aelektron",2017-06-13 02:22:00,9,544
"AerialAceOP",2017-06-12 11:51:00,4,25
"aerofile",2017-06-12 15:38:00,6,77
"afoole",2017-06-12 15:03:00,6,282
"afroSHIRL",2017-06-12 14:49:00,5,1677
"AgapeLove_x",2017-06-12 18:46:00,7,1559
"agdmd",2017-06-12 10:04:00,4,104
"aggressivenavel",2017-06-12 10:52:00,4,134
"ahacopian",2017-06-12 13:39:00,5,181
"ahhhhhhhhh666",2017-06-12 18:57:00,7,36
"ahilbrichdavis",2017-06-12 08:39:00,3,13144
"AhmadChildress",2017-06-13 01:33:00,9,2104
"ahsanissa69",2017-06-12 16:00:00,6,306
"AHSLadyGaga",2017-06-12 13:48:00,5,1161
"AIcoholist",2017-06-12 22:30:00,8,360
"aiovine106",2017-06-12 21:04:00,8,120
"AirinSilver",2017-06-12 21:48:00,8,86
"ajajabbigail",2017-06-12 21:12:00,8,211
"ajbh_2016",2017-06-12 18:08:00,7,9
"ajpearcewrites",2017-06-12 11:33:00,4,1190
"AJS71",2017-06-13 06:03:00,11,33
"Ajsoti",2017-06-12 16:19:00,6,2066
"ajvizedom",2017-06-12 06:22:00,3,179
"akbar_rahmani",2017-06-12 17:34:00,6,594
"akidisforlife",2017-06-13 00:07:00,9,43
"akim_eckert",2017-06-12 23:15:00,8,198
"akkad_sin",2017-06-13 01:59:00,9,35
"akmutwt",2017-06-13 11:04:00,12,938
"AlanHoffmann",2017-06-12 14:45:00,5,534
"alanna_cotch",2017-06-12 09:11:00,4,68
"alasdairdavie",2017-06-13 02:30:00,9,126
"AlasscanIsBack",2017-06-12 10:29:00,4,1924
"alastairwriter",2017-06-13 06:07:00,11,624
"aleczandah",2017-06-12 08:21:00,3,457
"Alex_Fitz19",2017-06-12 14:21:00,5,502
"alexespind",2017-06-13 01:54:00,9,2335
"AlexFROneill",2017-06-12 17:52:00,6,250
"alexisdasbomb",2017-06-12 20:39:00,7,108
"AlexIsSoNotCool",2017-06-12 14:13:00,5,125
"Alexizonf1re",2017-06-12 23:58:00,8,11
"AlexLJ",2017-06-12 14:29:00,5,532
"AlexPelayre",2017-06-12 17:21:00,6,242
"alexpinku",2017-06-12 15:43:00,6,893
"AlexTeesside",2017-06-12 19:15:00,7,137
"AlexWinchel",2017-06-12 14:25:00,5,75
"alfamia",2017-06-12 11:34:00,4,114
"AlfieDemmon",2017-06-13 02:45:00,9,383
"AlfredCarcieri",2017-06-13 11:32:00,12,255
"alfredshitcock",2017-06-12 15:50:00,6,635
"Algorithm1488",2017-06-12 13:53:00,5,46
"alicelouisegrif",2017-06-12 07:45:00,3,338
"AliciaRockel",2017-06-13 00:36:00,9,8
"AliJayShannon",2017-06-12 11:36:00,4,1260
"aliogrady",2017-06-13 05:50:00,10,717
"alisa2s",2017-06-13 00:44:00,9,121
"alisakader",2017-06-12 20:48:00,7,44
"AlisonWnz",2017-06-12 04:16:00,2,508
"Alittlehazayy",2017-06-13 07:07:00,11,321
"aliyyashelley",2017-06-12 19:58:00,7,603
"Allie81415877",2017-06-13 05:09:00,10,541
"alliedoll42",2017-06-12 14:28:00,5,661
"alliedwrites",2017-06-12 22:40:00,8,2301
"AllisonBonds1",2017-06-13 07:20:00,11,105
"allisonjardim",2017-06-12 11:15:00,4,74
"AllisonVCraig",2017-06-12 12:17:00,5,1413
"Allottedline",2017-06-12 17:32:00,6,202
"alltheangels_",2017-06-12 17:35:00,6,444
"AllyGeighter",2017-06-12 19:39:00,7,1854
"AlMaeder",2017-06-12 20:58:00,7,205
"almightyjb__",2017-06-12 22:32:00,8,520
"almondangela",2017-06-12 11:45:00,4,84
"alopsidedbanana",2017-06-12 23:04:00,8,106
"Alpha_Wave783",2017-06-12 16:30:00,6,19
"AlphaLackey",2017-06-12 19:48:00,7,263
"alsamiwasabi",2017-06-12 13:34:00,5,161
"AlsoNamedPhil",2017-06-12 13:05:00,5,689
"AltRightChris",2017-06-12 14:54:00,5,110
"AltRightOz",2017-06-13 05:22:00,10,31
"AltUSDA_ARS",2017-06-12 21:38:00,8,22220
"aluminummedal",2017-06-12 13:57:00,5,1316
"alurkingcat",2017-06-12 12:54:00,5,122
"AlvShippers",2017-06-12 17:48:00,6,34
"alvtla",2017-06-12 14:37:00,5,258
"alww",2017-06-12 14:26:00,5,93
"alyb_batgirl",2017-06-12 17:12:00,6,1306
"amadora2700",2017-06-12 19:31:00,7,2829
"amadorlicea",2017-06-12 14:35:00,5,1477
"amaethystian",2017-06-13 03:42:00,10,299
"Amanda_ilyssa",2017-06-13 00:36:00,9,315
"Amanda_L_Howell",2017-06-12 11:29:00,4,443
"amandaecollins",2017-06-12 10:14:00,4,242
"amandaeileen26",2017-06-12 14:12:00,5,528
"AmandaFama_",2017-06-13 07:53:00,11,611
"AmandaFlagg",2017-06-12 15:04:00,6,9217
"AmandaGAdams",2017-06-12 17:34:00,6,1452
"amandajane",2017-06-13 07:57:00,11,241
"AmandaLeavelle",2017-06-12 17:11:00,6,222
"amandalefer",2017-06-12 11:51:00,4,127
"amarcouxmcneal",2017-06-13 11:47:00,12,14
"amarikidd",2017-06-12 14:45:00,5,22
"amarilrose",2017-06-12 22:07:00,8,309
"amber_athey",2017-06-12 22:00:00,8,2489
"Amber_Bad_Bich",2017-06-12 23:27:00,8,49
"AmberTrump45",2017-06-12 19:15:00,7,678
"ameerfiqri_",2017-06-13 06:58:00,11,576
"AmericanPlush",2017-06-13 11:24:00,12,630
"AmericanQuixote",2017-06-13 01:09:00,9,36
"amerikag",2017-06-12 18:26:00,7,1524
"amgamble",2017-06-12 10:45:00,4,2664
"Amiable_cinerea",2017-06-12 17:39:00,6,577
"AmidPrivilege",2017-06-12 11:01:00,4,3620
"aminotaurs",2017-06-12 16:49:00,6,1361
"amirite_",2017-06-12 16:33:00,6,173
"AmyDortch",2017-06-13 07:27:00,11,208
"amyfgibsonsd",2017-06-12 14:00:00,5,193
"AmyGehling",2017-06-13 00:19:00,9,318
"AmyLSigmon",2017-06-12 13:47:00,5,150
"amylynchbiniek",2017-06-12 11:46:00,4,464
"amymaiden",2017-06-13 00:20:00,9,1204
"AmyRSorensen",2017-06-12 20:51:00,7,365
"amysantivgos",2017-06-12 15:54:00,6,7226
